completeness,classification,quality,n
polished,illustration,normal,828083
polished,illustration,good,825110
polished,illustration,low,346097
polished,illustration,great,289229
polished,illustration,best,275826
polished,illustration,masterpiece,122690
polished,illustration,worst,119036
rough,illustration,normal,106840
rough,illustration,good,79594
monochrome,comic,worst,67647
rough,illustration,low,64283
monochrome,illustration,normal,50442
monochrome,comic,low,38174
monochrome,illustration,low,34345
monochrome,illustration,good,31948
rough,comic,normal,31087
rough,illustration,worst,26304
monochrome,comic,normal,25465
rough,comic,good,22869
rough,comic,low,22809
rough,illustration,great,21797
polished,3d,normal,21765
monochrome,illustration,worst,16892
rough,illustration,best,16285
polished,3d,good,16250
rough,comic,worst,14692
monochrome,comic,good,13585
polished,comic,good,13142
polished,comic,normal,12717
polished,3d,low,9806
