completeness,classification,quality,n
polished,illustration,normal,2221
polished,illustration,good,2141
polished,illustration,low,842
polished,illustration,great,764
polished,illustration,best,700
polished,illustration,masterpiece,300
polished,illustration,worst,283
rough,illustration,normal,268
monochrome,comic,worst,215
rough,illustration,good,200
rough,illustration,low,145
monochrome,illustration,normal,125
monochrome,comic,low,96
monochrome,illustration,good,79
polished,3d,normal,74
rough,comic,normal,71
monochrome,illustration,low,66
rough,illustration,worst,65
rough,comic,good,62
monochrome,comic,normal,57
rough,comic,low,52
rough,illustration,great,52
polished,3d,good,42
rough,illustration,best,40
polished,comic,good,37
monochrome,illustration,worst,34
rough,comic,worst,33
polished,comic,normal,30
polished,bangumi,normal,27
monochrome,comic,good,25
