cell,scope,n,mean_d_opp,ci_lo,ci_hi,small_n
medium|2to4|aspect2|avail2,top,90,2.7740450369e-03,1.8839098016e-03,3.8562170654e-03,false
medium|2to4|aspect2|avail2,bottom,81,-1.5460787180e-03,-2.5883101237e-03,-5.7466533610e-04,false
medium|ge4|aspect2|avail2,top,29,7.8847318374e-03,5.6614767471e-03,1.0272889543e-02,false
medium|ge4|aspect2|avail2,bottom,26,-3.6007793477e-03,-5.5450567976e-03,-1.7338914510e-03,false
medium|lt2|aspect2|avail2,top,29,4.7170152438e-04,-2.8286355965e-04,1.2430343038e-03,false
medium|lt2|aspect2|avail2,bottom,30,7.6538870732e-04,-8.1841200590e-05,1.5796708874e-03,false
mild|2to4|aspect0|avail0,top,48,4.5626206944e-04,-2.3658573627e-05,9.2859473856e-04,false
mild|2to4|aspect0|avail0,bottom,41,3.6898782340e-04,-9.3888476854e-04,1.9353381653e-03,false
mild|2to4|aspect1|avail1,top,113,1.3765347545e-03,8.9989797154e-04,1.9216478061e-03,false
mild|2to4|aspect1|avail1,bottom,126,-5.7483124473e-04,-1.2180833745e-03,5.7729494773e-05,false
mild|2to4|aspect2|avail2,top,14,3.9180950927e-03,1.6083993949e-03,6.6945225333e-03,true
mild|2to4|aspect2|avail2,bottom,14,-2.3647424366e-04,-1.9780753580e-03,1.6075853857e-03,true
mild|lt2|aspect0|avail0,top,108,5.0755014160e-04,1.6603669221e-04,9.1487219454e-04,false
mild|lt2|aspect0|avail0,bottom,106,7.8433140550e-05,-4.4473199842e-04,5.9363574475e-04,false
mild|lt2|aspect1|avail1,top,63,2.5529745552e-04,-1.9959514103e-04,7.0467639478e-04,false
mild|lt2|aspect1|avail1,bottom,58,-2.9095776122e-04,-1.2732343010e-03,5.8709946943e-04,false
mild|lt2|aspect2|avail2,top,5,1.8744647503e-03,4.3002665043e-04,3.7671148777e-03,true
mild|lt2|aspect2|avail2,bottom,10,-1.0280132294e-03,-3.6159469374e-03,1.3999352977e-03,true
strong|2to4|aspect2|avail2,top,8,3.7918156013e-03,1.7625167966e-03,6.2293661758e-03,true
strong|2to4|aspect2|avail2,bottom,8,-3.0577881262e-03,-6.4881481230e-03,-2.3956410587e-05,true
strong|ge4|aspect2|avail2,top,14,9.2898519444e-03,5.3914220405e-03,1.4689751349e-02,true
strong|ge4|aspect2|avail2,bottom,12,-2.0924756924e-03,-5.9086207145e-03,1.2211933111e-03,true
