unit,cohort,sample_id,source_shard,target,orientation,zoom,latent_shift,norm_offset,pixel_shift,opp_na,strict_identity,PRE_L_CORRECT,PRE_L_IDENTITY,PRE_M_IDENTITY,PRE_M_OPPOSITE,PRE_M_SHUFFLED,PRE_S_OPPOSITE_relrms,PRE_best3,MID_L_CORRECT,MID_L_IDENTITY,MID_M_IDENTITY,MID_M_OPPOSITE,MID_M_SHUFFLED,MID_S_OPPOSITE_relrms,MID_best3,POST_L_CORRECT,POST_L_IDENTITY,POST_M_IDENTITY,POST_M_OPPOSITE,POST_M_SHUFFLED,POST_S_OPPOSITE_relrms,POST_best3
0,camera,10470356,data/2_2026.1/shard-000084.tar,256x256,vertical,1.2183,2.938,0.1210,-47.0,0,0,0.566798,0.563892,-0.002906,0.000698,-0.004045,0.080132,0.000,0.559032,0.560085,0.001053,0.001218,-0.000678,0.047628,0.250,0.558467,0.561149,0.002681,0.004627,0.000428,0.048279,0.750
1,camera,10223835,data/2_2026.1/shard-000084.tar,256x256,vertical,1.2374,2.250,0.7647,36.0,0,0,0.637478,0.636021,-0.001457,-0.001766,-0.001333,0.089582,0.250,0.634140,0.637503,0.003363,0.000166,0.001499,0.059285,0.500,0.632763,0.637138,0.004375,0.000869,0.000280,0.059098,0.500
2,camera,10086840,data/2_2026.1/shard-000084.tar,256x256,vertical,1.2103,3.156,0.0756,-50.5,0,0,0.482539,0.476172,-0.006367,-0.004467,-0.007633,0.102674,0.000,0.481654,0.479118,-0.002536,-0.002455,-0.001597,0.071825,0.000,0.480036,0.479770,-0.000266,-0.000766,0.000197,0.068297,0.000
3,camera,10378955,data/2_2026.1/shard-000084.tar,256x256,horizontal,1.1541,2.281,0.0706,-36.5,0,0,0.662885,0.660708,-0.002177,0.003927,0.000448,0.084265,0.000,0.658459,0.655517,-0.002943,0.006140,0.000541,0.079501,0.000,0.659557,0.656084,-0.003473,0.002126,0.001364,0.068213,0.500
4,camera,10466106,data/2_2026.1/shard-000084.tar,256x256,vertical,1.2055,0.562,0.4224,-9.0,0,0,0.546588,0.547915,0.001327,-0.000076,0.008978,0.010918,0.250,0.546556,0.548122,0.001566,0.000052,0.001150,0.010476,0.250,0.547086,0.548005,0.000919,0.000072,0.001338,0.009826,0.500
5,camera,10289991,data/2_2026.1/shard-000084.tar,256x256,vertical,1.2247,3.750,0.0312,-60.0,0,0,0.439656,0.430872,-0.008784,0.004794,-0.004724,0.119076,0.000,0.432611,0.431296,-0.001315,0.010666,0.005224,0.073311,0.250,0.430949,0.430896,-0.000053,0.012265,0.006576,0.072317,0.250
6,camera,10255407,data/2_2026.1/shard-000084.tar,256x256,vertical,1.1891,3.000,0.9528,48.0,0,0,0.617125,0.614012,-0.003113,0.002048,-0.003519,0.081744,0.000,0.616771,0.614087,-0.002685,-0.002665,-0.004105,0.065395,0.000,0.617702,0.615653,-0.002049,-0.002725,-0.003445,0.071329,0.000
7,camera,10533759,data/2_2026.1/shard-000084.tar,256x256,horizontal,1.4087,2.188,0.3611,-35.0,0,0,0.644073,0.630917,-0.013156,0.002876,-0.012806,0.042146,0.000,0.633813,0.630404,-0.003409,0.001252,-0.003379,0.030464,0.000,0.634286,0.632365,-0.001921,0.002129,-0.000136,0.028690,0.250
8,camera,10240863,data/2_2026.1/shard-000084.tar,256x256,vertical,1.1558,0.000,0.5000,0.0,1,0,0.366225,0.371876,0.005650,,-0.000596,,0.250,0.366332,0.379431,0.013099,,-0.001485,,0.500,0.359998,0.370136,0.010138,,-0.000724,,0.500
9,camera,10217618,data/2_2026.1/shard-000084.tar,256x256,vertical,1.2900,4.438,0.9176,71.0,0,0,0.378699,0.380944,0.002245,0.016807,-0.003562,0.146020,0.250,0.374397,0.378820,0.004423,0.006609,-0.000853,0.068776,0.500,0.374657,0.377417,0.002760,0.005160,-0.000925,0.067321,0.500
10,camera,10217497,data/2_2026.1/shard-000084.tar,256x256,vertical,1.2469,1.500,0.3310,-24.0,0,0,0.322142,0.322229,0.000087,-0.002177,-0.002865,0.039260,0.250,0.321607,0.322618,0.001011,-0.002494,-0.002424,0.031349,0.250,0.318590,0.319639,0.001049,-0.000955,-0.000897,0.027919,0.250
11,camera,10214722,data/2_2026.1/shard-000084.tar,256x256,vertical,1.1842,2.844,0.0583,-45.5,0,0,0.628759,0.626317,-0.002442,0.001364,-0.001126,0.073649,0.250,0.626210,0.627853,0.001643,0.003176,0.001750,0.055544,0.500,0.626643,0.627662,0.001019,0.002977,0.000602,0.052926,0.500
12,camera,10384040,data/2_2026.1/shard-000084.tar,256x256,vertical,1.2006,2.469,0.1504,-39.5,0,0,0.514492,0.509740,-0.004752,-0.002199,0.002568,0.057407,0.000,0.511044,0.509470,-0.001573,-0.001320,0.000654,0.034920,0.000,0.510783,0.510232,-0.000550,0.000134,0.001175,0.037334,0.250
13,camera,10540670,data/2_2026.1/shard-000084.tar,256x256,vertical,1.1891,2.688,0.9057,43.0,0,0,0.621531,0.621898,0.000367,0.007084,0.001411,0.086653,0.250,0.619512,0.622314,0.002803,0.005516,0.003113,0.064344,0.750,0.615223,0.619723,0.004500,0.006500,0.004777,0.062563,0.750
14,camera,9984151,data/2_2026.1/shard-000084.tar,256x256,horizontal,1.1726,1.000,0.6667,16.0,0,0,0.574133,0.573810,-0.000322,0.001167,0.000779,0.033862,0.250,0.573923,0.573701,-0.000222,0.001343,0.000276,0.030596,0.250,0.573488,0.573361,-0.000127,0.001885,0.000737,0.031158,0.500
15,camera,10311460,data/2_2026.1/shard-000084.tar,256x256,vertical,1.2216,2.188,0.2222,-35.0,0,0,0.713470,0.714462,0.000992,0.000661,-0.001080,0.061985,0.250,0.711108,0.714961,0.003853,0.003530,0.001295,0.055826,0.750,0.711500,0.713866,0.002366,0.002961,0.000905,0.054803,0.750
16,camera,10132939,data/2_2026.1/shard-000084.tar,256x256,vertical,1.1875,0.469,0.4286,-7.5,0,0,0.369295,0.369417,0.000121,-0.000513,0.009792,0.013823,0.000,0.367895,0.368718,0.000823,-0.000136,0.001142,0.012643,0.000,0.367774,0.368755,0.000981,-0.000294,0.000985,0.012495,0.000
17,camera,10432683,data/2_2026.1/shard-000084.tar,256x256,vertical,1.1759,0.188,0.5306,3.0,0,0,0.173590,0.174017,0.000427,0.000105,0.004745,0.016672,0.250,0.170051,0.173198,0.003148,0.000191,0.000758,0.007908,0.750,0.170937,0.173062,0.002125,0.000106,0.000286,0.006975,0.250
18,camera,10210810,data/2_2026.1/shard-000084.tar,256x256,vertical,1.1541,0.531,0.4000,-8.5,0,0,0.666725,0.664267,-0.002458,0.000095,-0.000351,0.024790,0.000,0.664268,0.664675,0.000407,-0.000246,-0.000436,0.014792,0.250,0.667752,0.667955,0.000202,-0.000101,-0.000878,0.013910,0.000
19,camera,10470490,data/2_2026.1/shard-000084.tar,256x256,vertical,1.2484,0.344,0.5385,5.5,0,0,0.669957,0.667950,-0.002007,-0.000571,-0.002241,0.013581,0.000,0.670038,0.671049,0.001011,-0.000117,-0.000991,0.014634,0.250,0.666964,0.667642,0.000679,-0.000502,-0.001221,0.014403,0.250
20,camera,9937009,data/2_2026.1/shard-000084.tar,256x256,vertical,1.2247,3.500,0.9375,56.0,0,0,0.521509,0.515449,-0.006060,0.006191,-0.004263,0.122386,0.000,0.514634,0.516250,0.001616,0.003863,-0.000699,0.061665,0.500,0.511695,0.514352,0.002657,0.002869,0.000091,0.061878,0.500
21,camera,10089633,data/2_2026.1/shard-000084.tar,256x256,vertical,1.1057,0.594,0.3333,-9.5,0,0,0.300615,0.305265,0.004650,0.004525,0.006344,0.086089,0.250,0.306536,0.310113,0.003578,-0.000212,0.000047,0.046099,0.750,0.304411,0.307967,0.003556,0.000356,0.001016,0.048439,0.250
22,camera,10356899,data/2_2026.1/shard-000084.tar,256x256,horizontal,1.1541,0.719,0.6353,11.5,0,0,0.595313,0.596036,0.000724,0.005100,0.000171,0.048033,0.500,0.596366,0.597644,0.001278,0.003956,0.001693,0.034447,0.250,0.596442,0.597715,0.001273,0.004288,0.002346,0.035574,0.500
23,camera,10158578,data/2_2026.1/shard-000084.tar,256x256,horizontal,1.3332,0.094,0.5075,1.5,0,0,0.709220,0.704524,-0.004696,0.000044,-0.004475,0.004785,0.250,0.704566,0.703495,-0.001070,0.000031,-0.000769,0.005139,0.250,0.705277,0.703380,-0.001897,-0.000049,-0.001686,0.005007,0.000
24,camera,10243635,data/2_2026.1/shard-000084.tar,256x256,vertical,1.2167,1.906,0.2520,-30.5,0,0,0.515898,0.515201,-0.000697,0.001713,0.000404,0.045662,0.250,0.512762,0.514330,0.001568,0.002021,0.000302,0.029560,0.250,0.513013,0.514963,0.001950,0.002731,0.000326,0.032760,0.500
25,camera,10283785,data/2_2026.1/shard-000084.tar,256x256,horizontal,1.1859,2.812,0.9327,45.0,0,0,0.540910,0.540229,-0.000681,0.002779,0.001622,0.065507,0.250,0.537820,0.540980,0.003160,0.002233,0.004885,0.039338,1.000,0.537832,0.541059,0.003227,0.002591,0.004177,0.040208,1.000
