pair_id,source_shard,sample_id,original_side,zoom_band,k_start,k_end,available,full_height,signed_shift_start,latent_shift,latent_band,in_balanced_subset,content_asymmetry,m_top_pre_A,m_top_pre_B,m_top_control_A,m_top_control_B,m_top_treatment_A,m_top_treatment_B,m_bot_pre_A,m_bot_pre_B,m_bot_control_A,m_bot_control_B,m_bot_treatment_A,m_bot_treatment_B,f_top_pre_A,f_top_pre_B,f_top_control_A,f_top_control_B,f_top_treatment_A,f_top_treatment_B,f_bot_pre_A,f_bot_pre_B,f_bot_control_A,f_bot_control_B,f_bot_treatment_A,f_bot_treatment_B,i_top_C0/T0,i_top_C0/T1,i_top_C1/T0,i_top_C1/T1,i_bot_C0/T0,i_bot_C0/T1,i_bot_C1/T0,i_bot_C1/T1,i_g_C0/T0,i_g_C0/T1,i_g_C1/T0,i_g_C1/T1
0,data/1_2024/shard-000477.tar,6503,START,medium,29,111,140,396,-41,2.5625,2to4,False,0.012757628999999999,0.00040368735790252686,0.00040368735790252686,0.00061121582984924316,0.00061121582984924316,0.00073765218257904053,0.00065575540065765381,0.0063965320587158203,0.0063965320587158203,0.0063157379627227783,0.0063157379627227783,0.0062720924615859985,0.0063686072826385498,0,0,0,0,0,0,0,0,0,0,0,0,0.00012643635272979736,4.4539570808410645e-05,0.00012643635272979736,4.4539570808410645e-05,-4.3645501136779785e-05,5.2869319915771484e-05,-4.3645501136779785e-05,5.2869319915771484e-05,0.00017008185386657715,-8.3297491073608398e-06,0.00017008185386657715,-8.3297491073608398e-06
1,data/1_2024/shard-000477.tar,13503,END,mild,21,88,109,365,-33.5,2.09375,2to4,True,0.005147703,0.00043080002069473267,0.00043080002069473267,0.00048805028200149536,0.00048805028200149536,0.00043396651744842529,0.00043396651744842529,0.003637164831161499,0.003637164831161499,0.0035362094640731812,0.0035362094640731812,0.0037637203931808472,0.0037637203931808472,0,0,0,0,0,0,0,0,0,0,0,0,-5.4083764553070068e-05,-5.4083764553070068e-05,-5.4083764553070068e-05,-5.4083764553070068e-05,0.00022751092910766602,0.00022751092910766602,0.00022751092910766602,0.00022751092910766602,-0.00028159469366073608,-0.00028159469366073608,-0.00028159469366073608,-0.00028159469366073608
2,data/1_2024/shard-000477.tar,16375,END,mild,19,87,106,362,-34,2.125,2to4,True,0.0018197599999999999,0.0051891803741455078,0.0051891803741455078,0.0057248175144195557,0.0057248175144195557,0.0046618729829788208,0.0046618729829788208,0.0030908957123756409,0.0030908957123756409,0.0026738643646240234,0.0026738643646240234,0.0036186426877975464,0.0036186426877975464,0,0,0,0,0,0,0,0,0,0,0,0,-0.0010629445314407349,-0.0010629445314407349,-0.0010629445314407349,-0.0010629445314407349,0.00094477832317352295,0.00094477832317352295,0.00094477832317352295,0.00094477832317352295,-0.0020077228546142578,-0.0020077228546142578,-0.0020077228546142578,-0.0020077228546142578
3,data/1_2024/shard-000477.tar,30375,START,medium,21,111,132,388,-45,2.8125,2to4,True,0.001411196,0.0016152597963809967,0.0016152597963809967,0.0025997571647167206,0.0025297552347183228,0.0024937577545642853,0.0024937577545642853,0.020303666591644287,0.020303666591644287,0.02043784037232399,0.02027709037065506,0.017091020941734314,0.017091020941734314,0,0,0,0,0,0,0,0,0,0,0,0,-0.0001059994101524353,-0.0001059994101524353,-3.5997480154037476e-05,-3.5997480154037476e-05,-0.0033468194305896759,-0.0033468194305896759,-0.0031860694289207458,-0.0031860694289207458,0.0032408200204372406,0.0032408200204372406,0.0031500719487667084,0.0031500719487667084
4,data/1_2024/shard-000477.tar,50375,START,medium,51,105,156,412,-27,1.6875,lt2,True,0.0080452639999999999,0.00023718923330307007,0.00023718923330307007,0.00034547597169876099,0.00034547597169876099,5.1826238632202148e-05,5.1826238632202148e-05,-0.00070168823003768921,-0.00070168823003768921,-0.00049627572298049927,-0.00049627572298049927,-0.0011431798338890076,-0.0011431798338890076,0,0,0,0,0,0,0,0,0,0,0,0,-0.00029364973306655884,-0.00029364973306655884,-0.00029364973306655884,-0.00029364973306655884,-0.0006469041109085083,-0.0006469041109085083,-0.0006469041109085083,-0.0006469041109085083,0.00035325437784194946,0.00035325437784194946,0.00035325437784194946,0.00035325437784194946
5,data/1_2024/shard-000477.tar,83503,END,mild,3,94,97,353,-45.5,2.84375,2to4,False,0.015701593999999999,0.0017041563987731934,0.0017041563987731934,0.0019097477197647095,0.0019097477197647095,0.00074015557765960693,0.00074015557765960693,0.001644134521484375,0.001644134521484375,0.0018757283687591553,0.0018757283687591553,0.0021846741437911987,0.0021846741437911987,0,0,0,0,0,0,0,0,0,0,0,0,-0.0011695921421051025,-0.0011695921421051025,-0.0011695921421051025,-0.0011695921421051025,0.00030894577503204346,0.00030894577503204346,0.00030894577503204346,0.00030894577503204346,-0.001478537917137146,-0.001478537917137146,-0.001478537917137146,-0.001478537917137146
6,data/1_2024/shard-000477.tar,84503,START,mild,1,95,96,352,-47,2.9375,2to4,False,0.026331987000000001,0.0029081255197525024,0.0029364079236984253,0.0030767619609832764,0.0030767619609832764,0.0033655762672424316,0.0033744722604751587,0.0075055956840515137,0.0074981749057769775,0.0069461464881896973,0.0069524794816970825,0.0064331740140914917,0.0064882338047027588,-1.6242265701293945e-06,0,-4.4792890548706055e-05,0,-9.2983245849609375e-06,2.3186206817626953e-05,0,0,0,-3.5911798477172852e-06,5.9604644775390625e-06,3.0696392059326172e-06,0.00025331974029541016,0.00022973120212554932,0.00029811263084411621,0.00027452409267425537,-0.00051893293857574463,-0.00046098232269287109,-0.00052885711193084717,-0.00047090649604797363,0.00077225267887115479,0.00069071352481842041,0.00082696974277496338,0.000745430588722229
7,data/1_2024/shard-000477.tar,117375,END,mild,5,80,85,341,-37.5,2.34375,2to4,False,0.0091107640000000004,0.014482475817203522,0.014482475817203522,0.015129197388887405,0.015129197388887405,0.014863379299640656,0.014863379299640656,0.0083085261285305023,0.0083085261285305023,0.010063719004392624,0.010063719004392624,0.0087615139782428741,0.0087615139782428741,0,0,0,0,0,0,0,0,0,0,0,0,-0.00026581808924674988,-0.00026581808924674988,-0.00026581808924674988,-0.00026581808924674988,-0.0013022050261497498,-0.0013022050261497498,-0.0013022050261497498,-0.0013022050261497498,0.0010363869369029999,0.0010363869369029999,0.0010363869369029999,0.0010363869369029999
8,data/1_2024/shard-000477.tar,117503,END,medium,45,103,148,404,-29,1.8125,lt2,True,0.0019639620000000001,0.0032449066638946533,0.0032449066638946533,0.0021268799901008606,0.0021268799901008606,0.0034013688564300537,0.0034013688564300537,0.0024207308888435364,0.0024207308888435364,0.0031542778015136719,0.0031542778015136719,0.0022324025630950928,0.0022324025630950928,0,0,0,0,0,0,0,0,0,0,0,0,0.0012744888663291931,0.0012744888663291931,0.0012744888663291931,0.0012744888663291931,-0.0009218752384185791,-0.0009218752384185791,-0.0009218752384185791,-0.0009218752384185791,0.0021963641047477722,0.0021963641047477722,0.0021963641047477722,0.0021963641047477722
9,data/1_2024/shard-000477.tar,121375,START,medium,22,133,155,411,-55.5,3.46875,2to4,True,0.0084715780000000004,0.0024713426828384399,0.0024713426828384399,0.0036176517605781555,0.0036176517605781555,0.0029167309403419495,0.0029167309403419495,0.0019191130995750427,0.0019191130995750427,0.0031893923878669739,0.0031893923878669739,0.0033405497670173645,0.0033405497670173645,0,0,0,0,0,0,0,0,0,0,0,0,-0.00070092082023620605,-0.00070092082023620605,-0.00070092082023620605,-0.00070092082023620605,0.00015115737915039062,0.00015115737915039062,0.00015115737915039062,0.00015115737915039062,-0.00085207819938659668,-0.00085207819938659668,-0.00085207819938659668,-0.00085207819938659668
