checkpoint,prompt_id,variant,seed,point_id,cohort,point_type,x,y,zoom,estimated_tx,estimated_ty,estimated_scale,theta_deg,inlier_ratio,n_matches,matched_cos,direction_cos,x_sign_correct,y_sign_correct,response_strength,log_s_hat,log_s_exp,zoom_dir_ok,clip_content,png_sha256_16,noise_sha256_16
PRE,validation-fac64aa1d4574f386dec1fefcb2eaca0,0,7194567525573220312,coupled_z1.1_left_edge,TRAINING_COUPLED,shift,-0.2100000000000002,0.0,1.1,-0.032199466624651604,-0.009095706351615301,0.7448020899577276,4.140236033614132,0.9519230769230769,107,0.8964780569076538,0.9623418003287353,True,,0.1752639994560915,,,,0.9073566794386373,59b4f57a0c169212,566330d9c795f99b
MID,validation-fac64aa1d4574f386dec1fefcb2eaca0,0,7194567525573220312,coupled_z1.1_left_edge,TRAINING_COUPLED,shift,-0.2100000000000002,0.0,1.1,0.004477949913534063,0.011113067199253153,0.9949431811532432,0.3842949179191281,0.8316831683168316,118,0.9291612505912781,-0.37374393765058567,False,,0.06275935405321839,,,,0.949572083327541,419b1a1464a8245e,566330d9c795f99b
POST,validation-fac64aa1d4574f386dec1fefcb2eaca0,0,7194567525573220312,coupled_z1.1_left_edge,TRAINING_COUPLED,shift,-0.2100000000000002,0.0,1.1,-0.009324522795185669,0.0026900398548814486,0.989847864250222,-0.21980217031818858,0.9230769230769231,138,0.9451522827148438,0.9608160808879853,True,,0.05083463879941474,,,,0.9517841339101809,f251255b914f4fde,566330d9c795f99b
PRE,validation-fac64aa1d4574f386dec1fefcb2eaca0,0,7194567525573220312,coupled_z1.1_right_edge,TRAINING_COUPLED,shift,0.2100000000000002,0.0,1.1,0.08487589345933888,-0.029899709064496793,0.8039970588023546,-8.043345723900815,0.9454545454545454,114,0.9112153053283691,0.943187179717566,True,,0.47136774427499417,,,,0.9152265140540099,982a53d4e4424911,566330d9c795f99b
MID,validation-fac64aa1d4574f386dec1fefcb2eaca0,0,7194567525573220312,coupled_z1.1_right_edge,TRAINING_COUPLED,shift,0.2100000000000002,0.0,1.1,0.011142361822278152,-0.0026315211984668033,0.9890018345390655,-0.7128018197582655,0.863013698630137,163,0.9420546293258667,0.9732262038540046,True,,0.05997038730007489,,,,0.9572268102890701,8b0e237e50595a93,566330d9c795f99b
POST,validation-fac64aa1d4574f386dec1fefcb2eaca0,0,7194567525573220312,coupled_z1.1_right_edge,TRAINING_COUPLED,shift,0.2100000000000002,0.0,1.1,-0.006158952056428357,-0.003820521292732415,0.9999900197070786,-0.46825323506021693,0.8714285714285714,150,0.9398571848869324,-0.84978087583525,False,,0.037964113258501755,,,,0.9431267976751432,5b3be6fe5e187ee5,566330d9c795f99b
PRE,validation-fac64aa1d4574f386dec1fefcb2eaca0,0,7194567525573220312,coupled_z1.225_left_edge,TRAINING_COUPLED,shift,-0.5006250000000003,0.0,1.225,-0.057348443711323305,-0.03307497643539201,0.7022443752484901,6.483460666919001,0.9893617021276596,95,0.8778720498085022,0.8662553029883859,True,,0.16199413297387136,,,,0.8775038123122022,abb43eb3ad9c9e93,566330d9c795f99b
MID,validation-fac64aa1d4574f386dec1fefcb2eaca0,0,7194567525573220312,coupled_z1.225_left_edge,TRAINING_COUPLED,shift,-0.5006250000000003,0.0,1.225,-0.049343722779510574,0.017949132222503217,0.867107531030359,-2.0580931483775626,0.7821782178217822,113,0.9115554690361023,0.9397569608337019,True,,0.12848129819029253,,,,0.932860906889752,2232a834adc0c89a,566330d9c795f99b
POST,validation-fac64aa1d4574f386dec1fefcb2eaca0,0,7194567525573220312,coupled_z1.225_left_edge,TRAINING_COUPLED,shift,-0.5006250000000003,0.0,1.225,-0.05410932814162721,0.01711237544742185,0.7875993652206782,-3.320072181876874,0.9368421052631579,100,0.9073941111564636,0.9534549727504743,True,,0.13886586654487781,,,,0.8652305603018691,4289fe4898e98ed4,566330d9c795f99b
PRE,validation-fac64aa1d4574f386dec1fefcb2eaca0,0,7194567525573220312,coupled_z1.225_right_edge,TRAINING_COUPLED,shift,0.5006250000000003,0.0,1.225,0.03723255420495068,-0.01707000442489391,0.743844559795249,-5.520832411391432,1.0,96,0.9073408246040344,0.9090178054903507,True,,0.10022452244840127,,,,0.8965705633154486,679569d2d10ee891,566330d9c795f99b
