prompt_id,cohort,stratum,ceiling_group,bank_seed,dir_pre,dir_mid,dir_post,dir_delta_pp,zoomerr_pre,zoomerr_post,zoomerr_delta_pp,mono_pre,mono_post,clip_pre,clip_post,clip_delta_pp,class,traj_dir,traj_zoom,traj_mono,traj_content
validation-fac64aa1d4574f386dec1fefcb2eaca0,legacy4,multi_character,mid,7194567525573220312,0.5918776757440088,0.4289427816400559,0.41504547457587676,-0.17683220116813209,0.16244956503680297,0.15907846263123873,-0.003371102405564236,0.8888888888888888,0.611111111111111,0.8659797150890888,0.8632771250177903,-0.002702590071298472,NEGATIVE,NON_MONOTONIC,NON_MONOTONIC,REGRESSION,NO_GAIN
validation-c17a74b546e841cbac26930ea4119aef,legacy4,mixed_other,low,6391809204931753144,0.4455450169640211,0.36464259476136096,0.4438357005571394,-0.0017093164068817113,0.21428081714812616,0.2854056229236239,0.07112480577549776,0.8333333333333334,0.7222222222222223,0.8301731974122725,0.7985839613423061,-0.03158923606996633,NULL,LATE_GAIN,NON_MONOTONIC,LATE_GAIN,NON_MONOTONIC
validation-fe7761d38db73e6709e5afac5a476aea,legacy4,mixed_other,high,1703622089916281952,0.6896153568754881,0.5015775189768887,0.5983246231235501,-0.09129073375193808,0.16228212824105273,0.12039348018414914,-0.041888648056903593,0.8888888888888888,0.888888888888889,0.9184234192566078,0.9068892423481033,-0.011534176908504445,STABLE_GOOD,LATE_GAIN,EARLY_GAIN_THEN_HOLD,NON_MONOTONIC,NO_GAIN
validation-d985f354c95ef3d2137bd3b5468adb43,legacy4,multi_character,low,7027832565548406767,0.382491658618444,0.5600750097743302,0.4013246100039556,0.01883295138551161,0.2058010294989058,0.23851465265674943,0.032713623157843624,1.0,0.6666666666666666,0.914357572872249,0.9243005290320703,0.009942956159821326,NULL,NON_MONOTONIC,NON_MONOTONIC,REGRESSION,NO_GAIN
validation-00e7d17a10b40c0b5b08beb96dc6cc37,expanded20,single_close_upper,high,8876686324375045007,0.8550681393947529,0.7596789541078856,0.7562371505486022,-0.09883098884615071,0.20648795254605742,0.12977421849532736,-0.07671373405073006,0.888888888888889,0.8333333333333334,0.9549766346532729,0.9479792842256355,-0.006997350427637383,POSITIVE,NON_MONOTONIC,LATE_GAIN,LATE_GAIN,NO_GAIN
validation-011d20bc981f54435405b9707837655d,expanded20,single_close_upper,high,4488631196545247354,0.8062610321244753,0.9285678242640087,0.8860837850531089,0.07982275292863361,0.1714071744400064,0.19045767317042836,0.019050498730421972,1.0,0.888888888888889,0.9115487486296155,0.9222357614248385,0.010687012795222994,POSITIVE,NON_MONOTONIC,LATE_GAIN,NON_MONOTONIC,EARLY_GAIN_THEN_HOLD
validation-0122181aac31d9baf00c2456426ac9ce,expanded20,single_close_upper,high,1706431257254567395,0.7234937833138253,0.6316622687825354,0.7965168742323033,0.07302309091847803,0.13156813313770396,0.1446571576591803,0.013089024521476339,0.8333333333333334,0.7222222222222223,0.9196984403184975,0.923536994147866,0.003838553829368596,POSITIVE,LATE_GAIN,NO_GAIN,LATE_GAIN,NO_GAIN
validation-02b458c24929db70210e02644cc1445e,expanded20,single_close_upper,high,1086640691220185878,0.8843064647257238,0.80414331916155,0.8456601188696616,-0.03864634585606219,0.16384142376290167,0.2194158682619269,0.05557444449902524,1.0,0.7222222222222223,0.9037869693163731,0.9049803715517193,0.0011934022353461415,STABLE_GOOD,LATE_GAIN,NON_MONOTONIC,LATE_GAIN,NO_GAIN
validation-0020f696c71c336f51f6915ee80cb59c,expanded20,single_full_body,mid,6345634631890559150,0.591510906022315,0.5909806271222329,0.4992210547775473,-0.09228985124476774,0.2296855824724842,0.12634359791731187,-0.10334198455517232,0.9444444444444445,0.7777777777777778,0.8927259276188044,0.8884033460682135,-0.004322581550590954,POSITIVE,NON_MONOTONIC,MONOTONIC_GAIN,LATE_GAIN,NO_GAIN
validation-01c0aa389bcc8bef69ccbdb52697b28e,expanded20,single_full_body,mid,7672176799749999008,0.4578992842183392,0.4799532543549909,0.4587643844338512,0.0008651002155120047,0.20089793983510518,0.13902657226846352,-0.06187136756664166,0.9444444444444445,0.7222222222222222,0.8966010200753362,0.9015735303156757,0.004972510240339512,POSITIVE,NON_MONOTONIC,EARLY_GAIN_THEN_HOLD,NON_MONOTONIC,NO_GAIN
validation-033c6ff1562f9dabea05e4c63b022900,expanded20,single_full_body,mid,4528642544356199577,0.6036845456234446,0.6458966483533042,0.5989938867217739,-0.004690658901670752,0.23702642771141988,0.126451865402876,-0.11057456230854387,0.7222222222222223,0.6666666666666666,0.9493893291983776,0.9422488784567213,-0.007140450741656257,POSITIVE,NON_MONOTONIC,MONOTONIC_GAIN,NON_MONOTONIC,NO_GAIN
validation-0cc203f3d5e29cf93ddd73b9d6f43a9b,expanded20,single_full_body,low,6700666088100203606,0.3813572853495668,0.6756248112316013,0.40759342162385065,0.02623613627428384,0.21419364002609412,0.14422849237502466,-0.06996514765106945,0.8333333333333334,0.9444444444444445,0.9184589736181935,0.8962959621875629,-0.022163011430630597,TRADEOFF,NON_MONOTONIC,LATE_GAIN,LATE_GAIN,NON_MONOTONIC
validation-00cb35ba157f16828e158208485e514f,expanded20,multi_character,mid,6117968892405753071,0.760260188253349,0.7889668740354262,0.5640638595015326,-0.19619632875181636,0.1855030962272403,0.14325960679988703,-0.04224348942735326,0.7777777777777778,0.7222222222222223,0.8691925398714221,0.8916132349726201,0.02242069510119804,NEGATIVE,NON_MONOTONIC,LATE_GAIN,NON_MONOTONIC,EARLY_GAIN_THEN_HOLD
validation-01047ad7504d2860c11fd4ec8883f9dc,expanded20,multi_character,low,3510235208101552823,0.6648715771478074,0.7772124081820295,0.4818469991168626,-0.18302457803094485,0.2505643569945285,0.21871986798689205,-0.03184448900763645,0.6666666666666666,0.888888888888889,0.9157003087796239,0.9039077607491063,-0.011792548030517658,NEGATIVE,NON_MONOTONIC,NO_GAIN,MONOTONIC_GAIN,NON_MONOTONIC
validation-01c4c1afda1dab09856b32fa6dee288d,expanded20,multi_character,low,5816155069893062477,0.32977859927458586,0.4112426021001987,0.4208630201600944,0.09108442088550855,0.14026059073347139,0.10798869851787796,-0.03227189221559343,0.8333333333333334,0.7777777777777778,0.9193206074421556,0.92169572263686,0.002375115194704347,POSITIVE,EARLY_GAIN_THEN_HOLD,LATE_GAIN,NON_MONOTONIC,NO_GAIN
validation-05488b333eb13225dc09f2651b9113e1,expanded20,multi_character,mid,1996984751267353937,0.555314242059505,0.8377439318749366,0.6158269423737849,0.06051270031427991,0.10967162893105815,0.18625507097333158,0.07658344204227342,0.9444444444444445,0.8333333333333334,0.9258251581074636,0.9352080500104037,0.009382891902940171,POSITIVE,NON_MONOTONIC,LATE_GAIN,NON_MONOTONIC,NO_GAIN
validation-01af6f4ad855ede9227b416213d1eab6,expanded20,scenery_environment,mid,7825864079854012917,0.7302411763976239,0.5046757443116404,0.5707330859758512,-0.15950809042177272,0.23731883191094857,0.2535786180355679,0.01625978612461934,0.8333333333333334,0.3333333333333333,0.870507348301169,0.9034067308497934,0.032899382548624345,NEGATIVE,LATE_GAIN,NON_MONOTONIC,NON_MONOTONIC,EARLY_GAIN_THEN_HOLD
validation-0237628dbff2df5bbf4f2d14ff71df39,expanded20,scenery_environment,low,4829568351509423655,0.13219007030122912,-0.038648665300666185,0.05025814655587896,-0.08193192374535016,0.24627440715712004,0.19242935610761788,-0.05384505104950216,0.7777777777777778,0.6666666666666666,0.9228691706922341,0.9339379879676671,0.011068817275433074,TRADEOFF,LATE_GAIN,EARLY_GAIN_THEN_HOLD,LATE_GAIN,NO_GAIN
validation-06d9514822e9abec634ec50b9dacf8c8,expanded20,scenery_environment,low,4890825084480356091,0.5002891190189914,0.6355695662334389,0.6638511145504707,0.16356199553147932,0.2606549211131752,0.25397801641036677,-0.006676904702808406,0.6666666666666666,0.7777777777777778,0.9338333121952043,0.9362737047946595,0.0024403925994552766,POSITIVE,MONOTONIC_GAIN,NO_GAIN,NON_MONOTONIC,NO_GAIN
validation-0935c8a53804e18556325604a0bb5d46,expanded20,scenery_environment,high,6320849675789975652,0.7535946598577324,0.5650837959425804,0.8623846892200243,0.10879002936229187,0.14559275910136094,0.2187443390630508,0.07315157996168986,1.0,0.8333333333333334,0.9300079225450991,0.9278225773040664,-0.0021853452410327545,POSITIVE,LATE_GAIN,NON_MONOTONIC,NON_MONOTONIC,NO_GAIN
validation-00355052c196912b17c0140bd3d2f529,expanded20,mixed_other,mid,289938290228183033,0.7014883609908752,0.7752498846983831,0.7973073100318797,0.09581894904100452,0.24934325556281597,0.2452874345107011,-0.004055821052114883,0.611111111111111,0.6666666666666666,0.9226728374304506,0.9352207627338686,0.012547925303417973,POSITIVE,MONOTONIC_GAIN,NO_GAIN,LATE_GAIN,NO_GAIN
validation-005d6f01fd188369490310847779a56b,expanded20,mixed_other,high,4213246958638595326,0.8204622098692328,0.8523912854036139,0.7576586169616594,-0.06280359290757342,0.14279235119214292,0.084338307450237,-0.05845404374190592,1.0,1.0,0.9364490846509573,0.9439216275215291,0.007472542870571752,POSITIVE,NON_MONOTONIC,EARLY_GAIN_THEN_HOLD,NO_GAIN,NO_GAIN
validation-00ef6d8db3b7d1cbfab4e956a18d0a37,expanded20,mixed_other,low,6784347275289129148,0.42800380721459846,0.7429174329677704,0.4960044613748856,0.06800065416028711,0.12810193332989234,0.13984638009651418,0.011744446766621841,0.7777777777777778,0.8333333333333334,0.9065579569329966,0.9039215860681314,-0.002636370864865123,POSITIVE,NON_MONOTONIC,NO_GAIN,NON_MONOTONIC,NO_GAIN
validation-02be2e8a684647581ac774a819e75a0b,expanded20,mixed_other,high,333077770199595879,0.7524195369044803,0.798430132211354,0.8601444771836585,0.10772494027917823,0.20568756079839035,0.16911958413376083,-0.03656797666462952,0.9444444444444445,0.8333333333333334,0.9498580961645496,0.9525038436444486,0.0026457474798989855,POSITIVE,MONOTONIC_GAIN,LATE_GAIN,LATE_GAIN,NO_GAIN
