pair_id,source_shard,sample_id,original_side,zoom_band,k_start,k_end,available,full_height,signed_shift_start,M_TOP_PRE,M_TOP_MID,M_TOP_POST,M_BOT_PRE,M_BOT_MID,M_BOT_POST,G_PRE_MID,G_MID_POST,G_PRE_POST,content_asymmetry,in_balanced_subset
0,data/1_2024/shard-000477.tar,6503,START,medium,29,111,140,396,-41.0,-0.000509008765221,-0.000549256801605,0.000403687357903,0.00737047195435,0.00584843754768,0.00639653205872,0.00148178637028,0.000404849648476,0.00188663601875,0.012757629,False
1,data/1_2024/shard-000477.tar,13503,END,mild,21,88,109,365,-33.5,0.00421734899282,0.000871084630489,0.000430800020695,0.0024828016758,0.00262804329395,0.00363716483116,-0.00349150598049,-0.001449406147,-0.00494091212749,0.005147703,True
2,data/1_2024/shard-000477.tar,16375,END,mild,19,87,106,362,-34.0,0.00468821823597,0.00436079502106,0.00518918037415,0.00432945787907,0.00324446707964,0.00309089571238,0.000757567584515,0.000981956720352,0.00173952430487,0.00181976,True
3,data/1_2024/shard-000477.tar,30375,START,medium,21,111,132,388,-45.0,0.000554692000151,0.00103971734643,0.00161525979638,0.0152584724128,0.0167272761464,0.0203036665916,-0.000983778387308,-0.00300084799528,-0.00398462638259,0.001411196,True
4,data/1_2024/shard-000477.tar,50375,START,medium,51,105,156,412,-27.0,-0.00102838873863,7.97584652901e-05,0.000237189233303,0.00187738239765,0.000396028161049,-0.000701688230038,0.00258950144053,0.0012551471591,0.00384464859962,0.008045264,True
5,data/1_2024/shard-000477.tar,83503,END,mild,3,94,97,353,-45.5,0.00184085965157,0.00162297487259,0.00170415639877,0.00339929759502,0.00214011967182,0.00164413452148,0.00104129314423,0.000577166676521,0.00161845982075,0.015701594,False
6,data/1_2024/shard-000477.tar,84503,START,mild,1,95,96,352,-47.0,0.00303226709366,0.000566139817238,0.00290974974632,0.000951334834099,0.0091680586338,0.00751416385174,-0.0106530636549,0.00400467216969,-0.00664839148521,0.026331987,False
7,data/1_2024/shard-000477.tar,117375,END,mild,5,80,85,341,-37.5,0.0111016444862,0.013374991715,0.0144824758172,0.00498026609421,0.00891256704926,0.00830852612853,-0.00165895372629,0.00171152502298,5.25712966919e-05,0.009110764,False
8,data/1_2024/shard-000477.tar,117503,END,medium,45,103,148,404,-29.0,0.00529427826405,0.00512475520372,0.00324490666389,0.00349320471287,0.00280463695526,0.00242073088884,0.000519044697285,-0.00149594247341,-0.000976897776127,0.001963962,True
9,data/1_2024/shard-000477.tar,121375,START,medium,22,133,155,411,-55.5,-0.00246972590685,0.00124587118626,0.00247134268284,0.00925554335117,0.00242795795202,0.00191911309958,0.0105431824923,0.00173431634903,0.0122774988413,0.008471578,True
10,data/1_2024/shard-000477.tar,124375,START,mild,11,80,91,347,-34.5,0.00329192727804,0.0020891353488,0.00330727547407,0.00166285037994,0.00160345435143,0.00144479423761,-0.00114339590073,0.00137680023909,0.00023340433836,0.009746626,False
11,data/1_2024/shard-000477.tar,124503,END,mild,4,65,69,325,-30.5,0.00296294689178,0.00197038054466,0.00224698334932,0.0077241808176,0.00951001793146,0.00880376249552,-0.00277840346098,0.000982858240604,-0.00179554522038,0.004446335,True
12,data/1_2024/shard-000477.tar,133375,START,medium,26,166,192,448,-70.0,-0.00513757765293,0.00664942711592,0.00654626637697,0.0169001817703,0.00738471001387,0.00499260425568,0.0213024765253,0.00228894501925,0.0235914215446,3.5167e-05,True
